PD_NBR_ATT_ESTAB_ADD_BY_QCI             PD_NBR_A_EST_ADD_B_Q
PD_ESTAB_ADD_SUCC_NBR_BY_QCI            PD_EST_AD_SUC_NBR_B_Q
PD_ESTAB_ADD_FAIL_NBR_BY_CAUSE          PD_EST_AD_FAIL_NBR_B_CA
PD_MOD_QO_SSUCC_NBR_BY_QCI              PD_MOD_QO_SUC_NBR_B_Q
PD_MOD_QO_SFAIL_NBR_BY_CAUSE            PD_MOD_QO_FAIL_NBR_B_CA
PD_RAB_REL_SUCC_NBR_BY_QCI              PD_RABREL_SUC_NBR_B_Q
PD_RAB_REL_FAIL_NBR_BY_CAUSE            PD_RABREL_FAIL_NBR_B_CA
PD_RELLND_ATT_NBR_BY_CAUSE              PD_RELLND_AT_NBR_B_CA
PD_E_NBRRC_CONN_ESTAB_MEAS              PD_E_NBR_CON_EST_MEAS
PD_CONN_ESTAB_ATT_BY_CAUSE              PD_CON_EST_AT_BY_CA
PD_E_NBRRC_CONN_RE_ESTAB_MEAS           PD_E_NBR_CON_RE_EST_MEAS
PD_CONN_RE_ESTAB_ATT_BY_CAUSE           PD_CON_RE_EST_AT_B_CA
PD_ESTAB_TIME_MAX_BY_CAUSE              PD_EST_TIME_MAX_B_CAU
PD_ESTAB_TIME_MEAN_BY_CAUSE             PD_EST_TIME_MEAN_BY_CA
